Timetable Code,Timetable Name,Trackernet Code,Trackernet Name,ATCO Code,NaPTAN Name
SPK,Stonebridge Park (& Depot),SPK,Stonebridge Park,9400ZZLUSGP,Stonebridge Park Underground Station
SRP,South Ruislip,SRP,South Ruislip,9400ZZLUSRP,South Ruislip Underground Station
SSQ,Sloane Square,SSQ,Sloane Square,9400ZZLUSSQ,Sloane Square Underground Station
STA,Stanmore (& Sidings),STA,Stanmore,9400ZZLUSTM,Stanmore Underground Station
STB,Stamford Brook,STB,Stamford Brook,9400ZZLUSFB,Stamford Brook Underground Station
STG,Stepney Green,STG,Stepney Green,9400ZZLUSGN,Stepney Green Underground Station
STK,Stockwell,STK,Stockwell,9400ZZLUSKW,Stockwell Underground Station
STM,Stoke Mandeville,,,9100STKM,Stoke Mandeville Rail Station
STN,Sudbury Town,STN,Sudbury Town,9400ZZLUSUT,Sudbury Town Underground Station
STP,St. Paul's,STP,St. Paul's,9400ZZLUSPU,St. Paul's Underground Station
SVS,Seven Sisters,SVS,Seven Sisters,9400ZZLUSVS,Seven Sisters Underground Station
SWC,Swiss Cottage,SWC,Swiss Cottage,9400ZZLUSWC,Swiss Cottage Underground Station
SWF,South Woodford,SWF,South Woodford,9400ZZLUSWF,South Woodford Underground Station
SWK,Southwark,SWK,Southwark,9400ZZLUSWK,Southwark Underground Station
SWM,South Wimbledon,SWM,South Wimbledon,9400ZZLUSWN,South Wimbledon Underground Station
TBE,Tooting Bec,TBE,Tooting Bec,9400ZZLUTBC,Tooting Bec Underground Station
TBY,Tooting Broadway,TBY,Tooting Broadway,9400ZZLUTBY,Tooting Broadway Underground Station
TCR,Tottenham Court Road,TCR,Tottenham Court Road,9400ZZLUTCR,Tottenham Court Road Underground Station
TEM,Temple,TEM,Temple,9400ZZLUTMP,Temple Underground Station
TGR,Turnham Green,TGR,Turnham Green,9400ZZLUTNG,Turnham Green Underground Station
THB,Theydon Bois,THB,Theydon Bois,9400ZZLUTHB,Theydon Bois Underground Station
THL,Tower Hill,THL,Tower Hill,9400ZZLUTWH,Tower Hill Underground Station
TOT,Totteridge & Whetstone,TOT,Totteridge and Whetstone,9400ZZLUTAW,Totteridge & Whetstone Underground Station
TPK,Tufnell Park,TPK,Tufnell Park,9400ZZLUTFP,Tufnell Park Underground Station
TPL,Turnpike Lane,TPL,Turnpike Lane,9400ZZLUTPN,Turnpike Lane Underground Station
TRI,Triangle Sidings,,,,
TTH,Tottenham Hale,TTH,Tottenham Hale,9400ZZLUTMH,Tottenham Hale Underground Station
UPB,Upminster Bridge,UPB,Upminster Bridge,9400ZZLUUPB,Upminster Bridge Underground Station
UPK,Upton Park,UPK,Upton Park,9400ZZLUUPK,Upton Park Underground Station
UPM,Upminster (& Depot),UPM,Upminster,9400ZZLUUPM,Upminster Underground Station
UPY,Upney,UPY,Upney,9400ZZLUUPY,Upney Underground Station
UXB,Uxbridge (& Sidings),UXB,Uxbridge,9400ZZLUUXB,Uxbridge Underground Station
VIC,Victoria,VIC,Victoria,9400ZZLUVIC,Victoria Underground Station
VUX,Vauxhall,VUX,Vauxhall,9400ZZLUVXL,Vauxhall Underground Station
WAC,West Acton,WAC,West Acton,9400ZZLUWTA,West Acton Underground Station
WAL,Walthamstow Central,WAL,Walthamstow Central,9400ZZLUWWL,Walthamstow Central Underground Station
WAN,Wanstead,WAN,Wanstead,9400ZZLUWSD,Wanstead Underground Station
WAR,Warwick Avenue,WAR,Warwick Avenue,9400ZZLUWKA,Warwick Avenue Underground Station
WAT,Watford,WAT,Watford,9400ZZLUWAF,Watford Underground Station
WBP,Westbourne Park,WBP,Westbourne Park,9400ZZLUWSP,Westbourne Park Underground Station
WBT,West Brompton,WBT,West Brompton,9400ZZLUWBN,West Brompton Underground Station
WCL,Whitechapel,WCL,Whitechapel,9400ZZLUWPL,Whitechapel Underground Station
WCT,White City (& Sidings),WCT,White City,9400ZZLUWCY,White City Underground Station
WDJ,Woodford Junction,,,,
WDL,Wood Lane,WDLP,Wood Lane,9400ZZLUWLA,Wood Lane Underground Station
WDN,Wimbledon,WDN,Wimbledon,9400ZZLUWIM,Wimbledon Underground Station
WEM,Wembley Central,WEM,Wembley Central,9400ZZLUWYC,Wembley Central Underground Station
WEN,Wendover,,,9100WENDOVR,Wendover Rail Station
WFD,Woodford,WFD,Woodford,9400ZZLUWOF,Woodford Underground Station
WFW,Woodford West,,,,
WFY,West Finchley,WFY,West Finchley,9400ZZLUWFN,West Finchley Underground Station
WGN,Wood Green,WGN,Wood Green,9400ZZLUWOG,Wood Green Underground Station
WHD,West Hampstead,WHD,West Hampstead,9400ZZLUWHP,West Hampstead Underground Station
WHJ,West Ham Junction,,,,
WHM,West Ham,WHM,West Ham,9400ZZLUWHM,West Ham Underground Station
WHR,West Harrow,WHR,West Harrow,9400ZZLUWHW,West Harrow Underground Station
WJN,Willesden Junction,WJN,Willesden Junction,9400ZZLUWJN,Willesden Junction Underground Station
WKE,West Kensington East Junction,,,,
WKN,West Kensington,WKN,West Kensington,9400ZZLUWKN,West Kensington Underground Station
WLG,Willesden Green,WLG,Willesden Green,9400ZZLUWIG,Willesden Green Underground Station
WLO,Waterloo (& Depot),WLO,Waterloo,9400ZZLUWLO,Waterloo Underground Station
WMP,Wimbledon Park (& Depot),WMP,Wimbledon Park,9400ZZLUWIP,Wimbledon Park Underground Station
WMS,Westminster,WMS,Westminster,9400ZZLUWSM,Westminster Underground Station
WPK,Wembley Park (& Sidings),WPK,Wembley Park,9400ZZLUWYP,Wembley Park Underground Station
WRP,West Ruislip (& Depot),WRP,West Ruislip,9400ZZLUWRP,West Ruislip Underground Station
WSP,Woodside Park,WSP,Woodside Park,9400ZZLUWOP,Woodside Park Underground Station
WST,Warren Street,WST,Warren Street,9400ZZLUWRR,Warren Street Underground Station
WTH,Watford High Street,WTH,Watford High Street,9100WATFDHS,Watford High Street Rail Station
WTJ,Watford Junction,WTJ,Watford Junction,9100WATFJDC,Watford Junction Rail Station
,,LRD,Lord's Disused,,
